row_key|list_mdm_id|meta_account|cummulation_count|recommendation_generation_date|additional_info|priority|tip|mdm_id|recommendation_reference_no|generate_replication|update_replication|cummulation_flag|customer_id|recommendation_name|attachment_url|recommendation_id|meta_product|dismissable_flag|action_code_url|action_code|generic|recommendation_short_desc|recommendation_detailed_desc|recommendation_type|recommendation_t_c|recommendation_start_date|crm_id|crm_creation_type|screen_indentifier|recommendation_end_date|recommendation_level|channel_ref_no|conversion_ref_no|action_user|action_channel|status|deferment_date|action_blacklist_reason|recommendation_category|expiry_date|rolling_days|action_date|blacklist_days
996264849_133|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Renew your existing FD 2|996264849|133|Y|Y|Y|996264849|Renew FD |-|107|FD|TRUE|Book FD|FD001|0|Kindly Renew your existing FD 2|Kindly Renew your existing FD 2|X-Sell|No Terms|2019-01-24|2|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
996264849_134|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Renew your existing FD 3|996264849|134|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Book FD|FD001|0|Kindly Renew your existing FD 3|Kindly Renew your existing FD 3|X-Sell|No Terms|2019-01-24|3|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
996264849_135|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Renew your existing FD 4|996264849|135|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Book FD|FD001|0|Kindly Renew your existing FD 4|Kindly Renew your existing FD 4|X-Sell|No Terms|2019-01-24|4|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
996264849_136|996264849|101400079900037|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Your FD is maturing, kindly reniew your FD(1)|996264849|136|Y|Y|Y|996264849|Renew FD |-|107|FD|TRUE|Renew FD|FD002T|0|Your FD is maturing, kindly reniew your FD(1)|Your FD is maturing, kindly reniew your FD(1)|Alerts|No Terms|2019-01-24|5|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Alerts|NULL|0|NULL|0
996264849_137|996264849|101400079900037|5|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Your FD is maturing, kindly reniew your FD(2)|996264849|137|Y|Y|Y|996264849|Renew FD |-|107|FD|TRUE|Renew FD|FD002T|0|Your FD is maturing, kindly reniew your FD(2)|Your FD is maturing, kindly reniew your FD(2)|Alerts|No Terms|2019-01-24|6|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Alerts|NULL|0|NULL|0
996264849_138|996264849|101400079900037|5|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Your FD is maturing, kindly reniew your FD(3)|996264849|138|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Renew FD|FD002T|0|Your FD is maturing, kindly reniew your FD(3)|Your FD is maturing, kindly reniew your FD(3)|Alerts|No Terms|2019-01-24|7|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|2019-01-26|NULL|Alerts|NULL|0|NULL|0
996264849_139|996264849|39400000000000|5|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Your FD is maturing, kindly reniew your FD(4)|996264849|139|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Renew FD|FD002T|0|Your FD is maturing, kindly reniew your FD(4)|Your FD is maturing, kindly reniew your FD(4)|Alerts|No Terms|2019-01-24|8|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|2019-01-23|NULL|Alerts|NULL|0|NULL|0
996264849_140|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Update email id and mobile no(1)|996264849|140|Y|Y|Y|996264849|Renew FD |-|107|FD|TRUE|Update Email|Email001|0|Kindly Update email id and mobile no|Kindly Update email id and mobile no|Service|No Terms|2019-01-24|9|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Information|NULL|0|NULL|0
996264849_141|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Update email id and mobile no(2)|996264849|141|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Update Email|Email001|0|Kindly Update email id and mobile no(1)|Kindly Update email id and mobile no(1)|Service|No Terms|2019-01-24|10|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Information|NULL|0|NULL|0
996264849_142|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Update email id and mobile no(3)|996264849|142|Y|Y|Y|996264849|Renew FD |-|107|FD|FALSE|Update Email|Email001|0|Kindly Update email id and mobile no(2)|Kindly Update email id and mobile no(2)|Service|No Terms|2019-01-24|11|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Information|NULL|0|NULL|0
996264849_143|996264849|39400000000000|1|2018-12-14|{"branch_code":"1","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Kindly Update email id and mobile no(4)|996264849|143|Y|Y|Y|996264849|Renew FD |-|107|FD|TRUE|Update Email|Email001|0|Kindly Update email id and mobile no(3)|Kindly Update email id and mobile no(3)|Service|No Terms|2019-01-24|12|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Service|NULL|0|NULL|0
998003452_123|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|1|Cash not or less dispensed from Domestic Other bank ATM but account debited|998003452|123|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Create SR|SR01|0|Cash not or less dispensed from Domestic Other bank ATM but account debited|Cash not or less dispensed from Domestic Other bank ATM but account debited|Regulatory|No Terms|2019-01-25|9|CASE|-|NULL|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
998003452_124|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Mutilated Note dispensed at the ATM|998003452|124|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Create SR|SR01|0|Mutilated Note dispensed at the ATM|Mutilated Note dispensed at the ATM|Regulatory|No Terms|2018-12-01|15|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
998003452_125|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Reschedulement letter|998003452|125|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Create SR|SR01|0|Reschedulement letter|Reschedulement letter|Regulatory|No Terms|2018-12-01|927|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
998003452_126|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|4|ECS updated with incorrect account number|998003452|126|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Create SR|SR01|0|ECS updated with incorrect account number|ECS updated with incorrect account number|Regulatory|No Terms|2018-12-01|139|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
998003452_127|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|5|ECS instructions not initiated|998003452|127|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Create SR|SR01|0|ECS instructions not initiated|ECS instructions not initiated|Regulatory|No Terms|2018-12-01|133|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
998003452_128|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|4|Net-Banking related issues|998003452|128|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Issue|ISSUE01|0|Net-Banking related issues|Net-Banking related issues|Service|No Terms|2019-01-21|13|LEAD|-|NULL|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Service|NULL|0|NULL|0
998003452_129|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|MySpace/Reminders issue inquiry|998003452|129|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Issue|ISSUE01|0|MySpace/Reminders issue inquiry|MySpace/Reminders issue inquiry|Service|No Terms|2019-01-20|14|LEAD|-|2019-01-24|account|NULL|NULL|NULL|NULL|OPEN|2019-01-01|NULL|Service|NULL|0|NULL|0
998003452_130|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Issue Cheque Book (P 2)|998003452|130|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Issue|ISSUE01|0|Issue Cheque Book (P 2)|Issue Cheque Book (P 2)|Service|No Terms|2019-01-20|15|LEAD|-|2019-03-24|account|NULL|NULL|NULL|NULL|OPEN|2019-01-28|NULL|Service|NULL|0|NULL|0
998003452_131|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|1|Issue Cheque Book (P 1)|998003452|131|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Issue|ISSUE01|0|Issue Cheque Book (P 1)|Issue Cheque Book (P 1)|Service|No Terms|2019-01-23|16|LEAD|-|2019-03-24|account|NULL|NULL|NULL|NULL|OPEN|2019-01-28|NULL|Service|NULL|0|NULL|0
998003452_132|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Renew your existing FD 3|998003452|132|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Book FD|FD001|0|Kindly Renew your existing FD 3|Kindly Renew your existing FD 3|X-Sell|No Terms|2019-01-24|17|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|DISMISSED|NULL|NULL|X-Sell|NULL|0|NULL|0
998003452_133|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Renew your existing FD 3|998003452|133|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Book FD|FD001|0|Kindly Renew your existing FD 3|Kindly Renew your existing FD 3|X-Sell|No Terms|2019-01-23|18|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|DISMISSED|NULL|NULL|X-Sell|NULL|0|NULL|0
998003452_134|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Renew your existing FD 3|998003452|134|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Book FD|FD001|0|Kindly Renew your existing FD 3|Kindly Renew your existing FD 3|X-Sell|No Terms|2019-01-23|19|LEAD|-|NULL|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
998003452_135|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Renew your existing FD 3|998003452|135|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Book FD|FD001|0|Kindly Renew your existing FD 3|Kindly Renew your existing FD 3|X-Sell|No Terms|2019-01-23|20|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
998003452_136|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Your FD is maturing, kindly reniew your FD|998003452|136|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Renew FD|FD002T|0|Your FD is maturing, kindly reniew your FD|Your FD is maturing, kindly reniew your FD|Alerts|No Terms|2019-01-23|21|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Alerts|NULL|0|NULL|0
998003452_137|998003452|39400000000000|5|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Your FD is maturing, kindly reniew your FD(2)|998003452|137|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Renew FD|FD002T|0|Your FD is maturing, kindly reniew your FD(2)|Your FD is maturing, kindly reniew your FD(2)|Alerts|No Terms|2019-01-23|22|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Alerts|NULL|0|NULL|0
998003452_138|998003452|39400000000000|5|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Your FD is maturing, kindly reniew your FD(3)|998003452|138|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Renew FD|FD002T|0|Your FD is maturing, kindly reniew your FD(3)|Your FD is maturing, kindly reniew your FD(3)|Alerts|No Terms|2019-01-23|23|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Alerts|NULL|0|NULL|0
998003452_139|998003452|39400000000000|5|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Your FD is maturing, kindly reniew your FD(4)|998003452|139|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Renew FD|FD002T|0|Your FD is maturing, kindly reniew your FD(4)|Your FD is maturing, kindly reniew your FD(4)|Alerts|No Terms|2019-01-23|24|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Alerts|NULL|0|NULL|0
998003452_140|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Update email id and mobile no|998003452|140|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Update Email|Email001|0|Kindly Update email id and mobile no|Kindly Update email id and mobile no|Service|No Terms|2019-01-23|25|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Information|NULL|0|NULL|0
998003452_141|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Update email id and mobile no(1)|998003452|141|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Update Email|Email001|0|Kindly Update email id and mobile no(1)|Kindly Update email id and mobile no(1)|Service|No Terms|2019-01-23|26|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Information|NULL|0|NULL|0
998003452_142|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Kindly Update email id and mobile no(2)|998003452|142|Y|Y|Y|998003452|Renew FD |-|107|FD|FALSE|Update Email|Email001|0|Kindly Update email id and mobile no(2)|Kindly Update email id and mobile no(2)|Service|No Terms|2019-01-23|27|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Service|NULL|0|NULL|0
998003452_143|998003452|39400000000000|1|2018-12-14|{"branch_code":"2","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Kindly Update email id and mobile no(3)|998003452|143|Y|Y|Y|998003452|Renew FD |-|107|FD|TRUE|Update Email|Email001|0|Kindly Update email id and mobile no(3)|Kindly Update email id and mobile no(3)|Service|No Terms|2019-01-23|28|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Service|NULL|0|NULL|0
1179699_10715447929060|1341527|39441100003004|5|2018-12-14|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|4|Dear SURESHKUMAR TRIVEDI Your FD is about to expire ,Please Renew|1341527|10715447929060|Y|Y|Y|1341527|Renew FD |-|107|FD|TRUE|-|FD_Renew|0|Kindly Renew your existing FD 1|Kindly Renew your existing FD 1|X-Sell|No Terms|2019-01-24|1|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
1179699_1071544792906111669149696|1341527|39441100009294|5|2018-12-14|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|5|Dear SURESHKUMAR TRIVEDI Your FD is about to expire ,Please Renew|1341527|1.07154479290611E+024|Y|Y|Y|1341527|Renew FD |-|107|FD|TRUE|-|FD_Renew|0|Kindly Renew your existing FD 2|Kindly Renew your existing FD 2|X-Sell|No Terms|2019-01-24|2|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
1179699_1071544792906120259084288|1341527|39441100003953|5|2018-12-15|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Dear SURESHKUMAR TRIVEDI Your FD is about to expire ,Please Renew|1341527|1.07154479290612E+024|Y|Y|Y|1341527|Renew FD |-|107|FD|TRUE|-|FD_Renew|0|Kindly Renew your existing FD 3|Kindly Renew your existing FD 3|X-Sell|No Terms|2019-01-24|3|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
1179699_107154479290625769803776|1341527|39441100000653|5|2018-12-16|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Dear SURESHKUMAR TRIVEDI Your FD is about to expire ,Please Renew|1341527|1.07154479290626E+023|Y|Y|Y|1341527|Renew FD |-|107|FD|TRUE|-|FD_Renew|0|Kindly Renew your existing FD 4|Kindly Renew your existing FD 4|X-Sell|No Terms|2019-01-24|4|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
1179699_107154479290660129542144|1341527|39441100005502|5|2018-12-17|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|1|Dear SURESHKUMAR TRIVEDI Your FD is about to expire ,Please Renew|1341527|1.0715447929066E+023|Y|Y|Y|1341527|Renew FD |-|107|FD|TRUE|-|FD_Renew|0|Kindly Renew your existing FD 4|Kindly Renew your existing FD 4|X-Sell|No Terms|2019-01-24|5|LEAD|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|X-Sell|NULL|0|NULL|0
1341527_128|1341527|39441100005506|1|2018-12-18|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|1|Dear KUSUM LATA GUPTA ,Your PAN is not Updated ,Please Update ASAP|1341527|128|Y|Y|Y|1341527|update PAN|-|108|FD|TRUE|-|PAN001||Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 1|Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 1|Regulatory |No Terms|2019-01-24|9|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
1341527_129|1341527|39441100005507|1|2018-12-19|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Dear KUSUM LATA GUPTA ,Your PAN is not Updated ,Please Update ASAP|1341527|129|Y|Y|Y|1341527|update PAN|-|109|FD|TRUE|-|PAN001||Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 2|Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 2|Regulatory |No Terms|2019-01-24|15|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
1341527_130|1341527|39441100005508|1|2018-12-20|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|3|Dear KUSUM LATA GUPTA ,Your PAN is not Updated ,Please Update ASAP|1341527|130|Y|Y|Y|1341527|update PAN|-|110|FD|TRUE|-|PAN001||Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 3|Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 3|Regulatory |No Terms|2019-01-24|927|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|DISMISSED|NULL|NULL|Regulatory|NULL|0|NULL|0
1341527_131|1341527|39441100005509|1|2018-12-21|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|1|Dear KUSUM LATA GUPTA ,Your PAN is not Updated ,Please Update ASAP|1341527|131|Y|Y|Y|1341527|update PAN|-|111|FD|TRUE|-|PAN001||Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 4|Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 4|Regulatory |No Terms|2019-01-24|139|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
1341527_132|1341527|39441100005510|1|2018-12-22|{"branch_code":"3","lob":"Branch Banking","amount":"54856.73","due_date":"2019-03-31"}|2|Dear KUSUM LATA GUPTA ,Your PAN is not Updated ,Please Update ASAP|1341527|132|Y|Y|Y|1341527|update PAN|-|112|FD|TRUE|-|PAN001||Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 5|Kindly update your Permanent Account Number (PAN) as per regulation by Govt of India 5|Regulatory |No Terms|2019-01-24|133|CASE|-|2019-03-31|account|NULL|NULL|NULL|NULL|OPEN|NULL|NULL|Regulatory|NULL|0|NULL|0
